id,imageurl,uri,titel,width,height
ddd-010962034-mpeg21-p024.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1985/ddd-010962034-mpeg21-p024.jpg,https://resolver.kb.nl/resolve?urn=ddd:010962034:mpeg21:p024,"Het vrĳe volk : democratisch-socialistisch dagblad van 1985-05-22 pagina 24",492,1988
ddd-010962045-mpeg21-p018.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1985/ddd-010962045-mpeg21-p018.jpg,https://resolver.kb.nl/resolve?urn=ddd:010962045:mpeg21:p018,"Het vrĳe volk : democratisch-socialistisch dagblad van 1985-05-29 pagina 18",494,2048
ddd-010962051-mpeg21-p018.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1985/ddd-010962051-mpeg21-p018.jpg,https://resolver.kb.nl/resolve?urn=ddd:010962051:mpeg21:p018,"Het vrĳe volk : democratisch-socialistisch dagblad van 1985-06-05 pagina 18",503,2029
ddd-010962057-mpeg21-p020.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1985/ddd-010962057-mpeg21-p020.jpg,https://resolver.kb.nl/resolve?urn=ddd:010962057:mpeg21:p020,"Het vrĳe volk : democratisch-socialistisch dagblad van 1985-06-12 pagina 20",495,2110
ddd-010962063-mpeg21-p018.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1985/ddd-010962063-mpeg21-p018.jpg,https://resolver.kb.nl/resolve?urn=ddd:010962063:mpeg21:p018,"Het vrĳe volk : democratisch-socialistisch dagblad van 1985-06-19 pagina 18",495,2029
ddd-010962069-mpeg21-p018.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1985/ddd-010962069-mpeg21-p018.jpg,https://resolver.kb.nl/resolve?urn=ddd:010962069:mpeg21:p018,"Het vrĳe volk : democratisch-socialistisch dagblad van 1985-06-26 pagina 18",498,1898
ddd-010962075-mpeg21-p008.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1985/ddd-010962075-mpeg21-p008.jpg,https://resolver.kb.nl/resolve?urn=ddd:010962075:mpeg21:p008,"Het vrĳe volk : democratisch-socialistisch dagblad van 1985-07-03 pagina 8",502,2026
ddd-010962081-mpeg21-p008.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1985/ddd-010962081-mpeg21-p008.jpg,https://resolver.kb.nl/resolve?urn=ddd:010962081:mpeg21:p008,"Het vrĳe volk : democratisch-socialistisch dagblad van 1985-07-10 pagina 8",500,2069
ddd-010962087-mpeg21-p004.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1985/ddd-010962087-mpeg21-p004.jpg,https://resolver.kb.nl/resolve?urn=ddd:010962087:mpeg21:p004,"Het vrĳe volk : democratisch-socialistisch dagblad van 1985-07-17 pagina 4",503,2152
ddd-010962015-mpeg21-p016.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1985/ddd-010962015-mpeg21-p016.jpg,https://resolver.kb.nl/resolve?urn=ddd:010962015:mpeg21:p016,"Het vrĳe volk : democratisch-socialistisch dagblad van 1985-07-24 pagina 16",503,2067
ddd-010962043-mpeg21-p014.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1985/ddd-010962043-mpeg21-p014.jpg,https://resolver.kb.nl/resolve?urn=ddd:010962043:mpeg21:p014,"Het vrĳe volk : democratisch-socialistisch dagblad van 1985-07-31 pagina 14",492,1920
ddd-010962136-mpeg21-p014.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1985/ddd-010962136-mpeg21-p014.jpg,https://resolver.kb.nl/resolve?urn=ddd:010962136:mpeg21:p014,"Het vrĳe volk : democratisch-socialistisch dagblad van 1985-08-07 pagina 14",514,2162
ddd-010962142-mpeg21-p008.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1985/ddd-010962142-mpeg21-p008.jpg,https://resolver.kb.nl/resolve?urn=ddd:010962142:mpeg21:p008,"Het vrĳe volk : democratisch-socialistisch dagblad van 1985-08-14 pagina 8",499,1956
ddd-010962092-mpeg21-p006.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1985/ddd-010962092-mpeg21-p006.jpg,https://resolver.kb.nl/resolve?urn=ddd:010962092:mpeg21:p006,"Het vrĳe volk : democratisch-socialistisch dagblad van 1985-08-21 pagina 6",504,2040
ddd-010962098-mpeg21-p018.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1985/ddd-010962098-mpeg21-p018.jpg,https://resolver.kb.nl/resolve?urn=ddd:010962098:mpeg21:p018,"Het vrĳe volk : democratisch-socialistisch dagblad van 1985-08-28 pagina 18",515,2038
ddd-010962104-mpeg21-p018.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1985/ddd-010962104-mpeg21-p018.jpg,https://resolver.kb.nl/resolve?urn=ddd:010962104:mpeg21:p018,"Het vrĳe volk : democratisch-socialistisch dagblad van 1985-09-04 pagina 18",505,2080
ddd-010962110-mpeg21-p018.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1985/ddd-010962110-mpeg21-p018.jpg,https://resolver.kb.nl/resolve?urn=ddd:010962110:mpeg21:p018,"Het vrĳe volk : democratisch-socialistisch dagblad van 1985-09-11 pagina 18",500,2094
ddd-010962116-mpeg21-p018.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1985/ddd-010962116-mpeg21-p018.jpg,https://resolver.kb.nl/resolve?urn=ddd:010962116:mpeg21:p018,"Het vrĳe volk : democratisch-socialistisch dagblad van 1985-09-18 pagina 18",513,2062
ddd-010962122-mpeg21-p020.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1985/ddd-010962122-mpeg21-p020.jpg,https://resolver.kb.nl/resolve?urn=ddd:010962122:mpeg21:p020,"Het vrĳe volk : democratisch-socialistisch dagblad van 1985-09-25 pagina 20",494,1969
ddd-010962166-mpeg21-p040.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1985/ddd-010962166-mpeg21-p040.jpg,https://resolver.kb.nl/resolve?urn=ddd:010962166:mpeg21:p040,"Het vrĳe volk : democratisch-socialistisch dagblad van 1985-10-30 pagina 40",667,2746
ddd-010962160-mpeg21-p038.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1985/ddd-010962160-mpeg21-p038.jpg,https://resolver.kb.nl/resolve?urn=ddd:010962160:mpeg21:p038,"Het vrĳe volk : democratisch-socialistisch dagblad van 1985-10-23 pagina 38",674,2722
ddd-010962154-mpeg21-p038.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1985/ddd-010962154-mpeg21-p038.jpg,https://resolver.kb.nl/resolve?urn=ddd:010962154:mpeg21:p038,"Het vrĳe volk : democratisch-socialistisch dagblad van 1985-10-16 pagina 38",663,2736
ddd-010962148-mpeg21-p032.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1985/ddd-010962148-mpeg21-p032.jpg,https://resolver.kb.nl/resolve?urn=ddd:010962148:mpeg21:p032,"Het vrĳe volk : democratisch-socialistisch dagblad van 1985-10-09 pagina 32",2260,1089
ddd-010962128-mpeg21-p014.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1985/ddd-010962128-mpeg21-p014.jpg,https://resolver.kb.nl/resolve?urn=ddd:010962128:mpeg21:p014,"Het vrĳe volk : democratisch-socialistisch dagblad van 1985-10-02 pagina 14",678,2794
ddd-010962223-mpeg21-p038.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1985/ddd-010962223-mpeg21-p038.jpg,https://resolver.kb.nl/resolve?urn=ddd:010962223:mpeg21:p038,"Het vrĳe volk : democratisch-socialistisch dagblad van 1985-11-06 pagina 38",2207,1648
ddd-010962229-mpeg21-p036.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1985/ddd-010962229-mpeg21-p036.jpg,https://resolver.kb.nl/resolve?urn=ddd:010962229:mpeg21:p036,"Het vrĳe volk : democratisch-socialistisch dagblad van 1985-11-13 pagina 36",664,2719
